Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,km,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,48928.0,Automatic,1,Tata,Tata Tiago,14.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.95
Comprehensive,Diesel,2179 cc,2014.0,Diesel,SUV,108862.0,Manual,3,Mahindra,Mahindra XUV500,17.0,Silver,4.0,Direct Injection ,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed ,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,6.9
Third Party insurance,Diesel,1956 cc,2018.0,Diesel,SUV,80000.0,Manual,1,Jeep,Jeep Compass,17.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Bangalore,13.5
Comprehensive,Diesel,1950 cc,2022.0,Diesel,SUV,16000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,19.0,Blue,4.0,Unknown,Yes,4436.0,2020.0,1611.0,2729.0,8G-DCT,AWD,5.0,Power,"tubeless,radial",5.0,446.5982220889598,19.256888627353813,DOHC,Unknown,5.337537946736646,Bangalore,55.95
Comprehensive,Diesel,1396 cc,2014.0,Diesel,Hatchback,65376.0,Manual,2,Hyundai,Hyundai i20,14.0,Blue,4.0,CRDI,No,3995.0,1710.0,1505.0,2525.0,6 Speed,FWD,5.0,Power,"tubeless,radial",5.0,340.10665818705604,21.27,DOHC,No,4.255793900204786,Bangalore,5.21
Third Party insurance,Petrol,1199 cc,2022.0,Petrol,SUV,10000.0,Manual,1,Tata,Tata Nexon,17.0,Others,3.0,Unknown,No,3993.0,1811.0,1606.0,2498.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,350.0,17.33,DOHC,Unknown,5.1,Bangalore,10.05
Comprehensive,Petrol,1497 cc,2016.0,Petrol,Sedan,67000.0,Manual,2,Honda,Honda City,15.0,Brown,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.8,SOHC,No,5.3,Bangalore,7.75
Third Party insurance,Diesel,1995 cc,2011.0,Diesel,Sedan,100000.0,Automatic,3,BMW,BMW 5 Series,17.0,White,4.0,CRDi,No,4841.0,1846.0,1468.0,2888.0,6 Speed,RWD,5.0,Power,"tubeless,radial",4.0,520.0,18.48,DOHC,Yes,11.526279476963303,Bangalore,22.0
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,18083.0,Manual,1,Maruti,Maruti Swift,16.0,Silver,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Bangalore,5.82
Third Party insurance,Petrol,1498 cc,2020.0,Petrol,SUV,30000.0,Manual,1,Renault,Renault Duster,17.0,Others,4.0,Multi Point Fuel Injection,No,4360.0,1822.0,1695.0,2673.0,5-Speed,FWD,5.0,Power,"tubeless, radial",5.0,475.0,16.42,DOHC,No,5.2,Bangalore,10.9
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,57634.0,Manual,2,Tata,Tata Tiago,14.0,Silver,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,4.57
Third Party insurance,Petrol,4663 cc,2016.0,Petrol,Sedan,50000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,19.0,Others,8.0,Direct Injection,Yes,5246.0,2130.0,1494.0,3165.0,7 Speed,RWD,5.0,Power,"tubeless,radial",4.0,530.0,7.81,DOHC,No,6.15,Bangalore,49.0
Third Party insurance,Petrol,1497 cc,2015.0,Petrol,Sedan,110000.0,Manual,1,Honda,Honda City,15.0,Others,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.4,SOHC,No,5.3,Bangalore,5.5
Comprehensive,Petrol,1086 cc,2018.0,Petrol,Hatchback,23447.0,Automatic,1,Hyundai,Hyundai Santro,15.0,Yellow,4.0,MPFI,No,3610.0,1645.0,1560.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,20.3,DOHC,No,1.590495501209034,Bangalore,5.7
Third Party insurance,LPG,1086 cc,2009.0,Lpg,Hatchback,30000.0,Manual,2,Hyundai,Hyundai Santro Xing,13.0,Others,3.0,MPFI+LPG,No,3565.0,1525.0,1590.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,223.99174995973567,13.45,SOHC,No,4.4,Bangalore,2.2
Comprehensive,Petrol,1991 cc,2017.0,Petrol,Sedan,33000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,17.0,White,4.0,Direct Injection,Yes,5063.0,1860.0,1494.0,3079.0,9 Speed,RWD,5.0,Electric,"tubeless,radial",4.0,540.0,15.0,DOHC,No,6.0,Bangalore,41.45
Third Party insurance,Diesel,2179 cc,2014.0,Diesel,SUV,87667.0,Manual,2,Mahindra,Mahindra XUV500,17.0,Black,4.0,Direct Injection ,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed ,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,8.61
Third Party insurance,Diesel,1968 cc,2016.0,Diesel,Sedan,40000.0,Automatic,2,Audi,Audi A4,16.0,Others,4.0,CRDI,Yes,4701.0,2040.0,1427.0,2808.0,8 Speed,FWD,5.0,Power,"tubeless,radial",4.0,480.0,17.11,DOHC,No,5.8,Bangalore,17.85
Comprehensive,Diesel,2179 cc,2014.0,Diesel,SUV,79012.0,Manual,2,Mahindra,Mahindra XUV500,17.0,Silver,4.0,Direct Injection,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,8.03
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,31344.0,Manual,1,Jeep,Jeep Compass,18.0,Black,4.0,Unknown,Yes,4405.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"tubeless,radial",5.0,408.90994212193505,17.1,DOHC,Unknown,9.302919758839295,Bangalore,25.65
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Sedan,50000.0,Manual,1,Hyundai,Hyundai Xcent,14.0,Others,4.0,MPFI,No,3995.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,4.0,407.0,20.14,DOHC,No,4.7,Bangalore,6.74
Comprehensive,Petrol,998 cc,2015.0,Petrol,Hatchback,12434.0,Manual,1,Maruti,Maruti Wagon R,14.0,Brown,3.0,Unknown,No,3599.0,1495.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,180.0,20.51,DOHC,No,4.6,Bangalore,3.49
Third Party insurance,Petrol,1462 cc,2019.0,Petrol,MUV,60000.0,Manual,2,Maruti,Maruti Ertiga,16.0,Others,4.0,MPFI,No,4395.0,1735.0,1690.0,2740.0,5 Speed,2WD,7.0,Power,"tubeless,radial",5.0,209.0,19.34,DOHC,No,5.2,Bangalore,10.5
Comprehensive,Diesel,1950 cc,2019.0,Diesel,Sedan,12000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,17.0,White,4.0,CRDi,Yes,4686.0,2020.0,1442.0,2840.0,9 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,12.6,DOHC,No,5.61,Bangalore,44.25
Comprehensive,Petrol,998 cc,2015.0,Petrol,Hatchback,40987.0,Manual,2,Maruti,Maruti Wagon R,14.0,White,3.0,Unknown,No,3599.0,1495.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,180.0,20.51,DOHC,No,4.6,Bangalore,4.06
Zero Dep,Petrol,1998 cc,2020.0,Petrol,Sedan,18157.0,Automatic,1,BMW,BMW 5 Series,18.0,Blue,4.0,MPFi,Yes,4936.0,2126.0,1466.0,2975.0,8-Speed Steptronic,RWD,5.0,Power,"tubeless,runflat",4.0,520.0,15.56,DOHC,No,5.6,Bangalore,49.65
Third Party insurance,Diesel,2982 cc,2011.0,Diesel,SUV,120000.0,Manual,3,Toyota,Toyota Fortuner,17.0,Others,4.0,Common-Rail type,Yes,4695.0,1840.0,1850.0,2750.0,5 Speed,4WD,7.0,Power,"tubeless,radial",5.0,502.6237898528441,11.5,DOHC,No,5.9,Bangalore,11.0
Third Party insurance,Diesel,1461 cc,2020.0,Diesel,SUV,40000.0,Automatic,2,Renault,Renault Duster,16.0,Others,4.0,Common Rail Direct Injection (dCi),No,4360.0,1822.0,1695.0,2673.0,6-Speed,FWD,5.0,Power,radial,5.0,475.0,19.87,DOHC,No,5.2,Bangalore,11.0
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,89667.0,Manual,1,Hyundai,Hyundai i20,16.0,White,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Bangalore,5.94
Third Party insurance,Diesel,1396 cc,2017.0,Diesel,Hatchback,120000.0,Manual,1,Hyundai,Hyundai i20,16.0,Others,4.0,CRDI,Yes,3985.0,1734.0,1505.0,2570.0,6 Speed,FWD,5.0,Power,tubeless,5.0,295.0,22.54,DOHC,No,5.2,Bangalore,7.1
Zero Dep,Petrol,1197 cc,2017.0,Petrol,Hatchback,56997.0,Manual,1,Maruti,Maruti Baleno,16.0,Blue,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,6.92
Third Party insurance,Petrol,1797 cc,2013.0,Petrol,Sedan,120000.0,Manual,1,Hyundai,Hyundai Elantra,16.0,Others,4.0,Multipoint Injection,No,4530.0,1775.0,1470.0,2700.0,6 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,420.0,16.3,DOHC,No,5.3,Bangalore,6.5
Third Party insurance,Diesel,1968 cc,2015.0,Diesel,Sedan,59000.0,Automatic,1,Audi,Audi A6,18.0,White,4.0,CRDI,Yes,4933.0,1874.0,1455.0,2912.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,530.0,18.53,DOHC,No,5.95,Bangalore,20.9
Zero Dep,Petrol,796 cc,2021.0,Petrol,Hatchback,18835.0,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Bangalore,4.11
Third Party insurance,Diesel,2179 cc,2010.0,Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,16.0,Gray,4.0,CRDI,Yes,4430.0,1817.0,1975.0,2680.0,5 Speed,2WD,7.0,Power,"tubeless,radial",5.0,432.55074658090825,12.05,DOHC,No,5.6,Bangalore,6.5
Comprehensive,Petrol,1998 cc,2016.0,Petrol,Hatchback,40000.0,Automatic,1,Mini,Mini 3 DOOR,16.0,White,4.0,MPFi,Yes,3850.0,1727.0,1414.0,2495.0,7 Speed,2WD,4.0,electric,runflat,3.0,211.0,17.33,Unknown,No,5.4,Bangalore,36.75
Comprehensive,Petrol,1199 cc,2019.0,Petrol,Hatchback,60932.0,Manual,1,Tata,Tata Tiago,15.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,6.1
Comprehensive,Petrol,1353 cc,2020.0,Petrol,SUV,33539.0,Automatic,2,Kia,Kia Seltos,17.0,White,4.0,GDi,Yes,4315.0,1800.0,1645.0,2610.0,7-Speed DCT,FWD,5.0,Electric,"tubeless,radial",5.0,433.0,16.5,DOHC,Unknown,8.614012373969004,Bangalore,16.75
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,66837.0,Manual,2,Tata,Tata Tiago,15.0,Brown,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.3
Third Party insurance,Diesel,2925 cc,2022.0,Diesel,Sedan,400.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,18.0,White,6.0,Direct Injection,Yes,5075.0,2065.0,1495.0,3079.0,9-Speed,RWD,5.0,Electric,unknown,4.0,579.3190701098051,19.256888627353813,DOHC,Unknown,10.599341898296316,Bangalore,79.9
Third Party insurance,Petrol,796 cc,2008.0,Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Alto,12.0,Others,3.0,MPFI,No,3495.0,1475.0,1460.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,207.3824148307126,19.7,SOHC,No,4.6,Bangalore,2.5
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,44285.0,Manual,1,Hyundai,Hyundai i20,16.0,Grey,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,285.0,18.6,DOHC,No,5.2,Bangalore,7.15
Third Party insurance,Diesel,2987 cc,2014.0,Diesel,SUV,100000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,19.0,Others,6.0,CRDI,Yes,5120.0,2141.0,1850.0,3075.0,7 Speed,AWD,7.0,Power,"tubeless,radial",5.0,680.0,11.3,DOHC,No,6.2,Bangalore,35.0
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,25000.0,Automatic,1,Tata,Tata New Safari,18.0,White,4.0,Unknown,Yes,4661.0,1894.0,1786.0,2741.0,6-Speed,FWD,6.0,Power,"tubeless,radial",5.0,73.0,14.08,DOHC,Unknown,13.231811212757492,Bangalore,22.5
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,36735.0,Manual,1,Hyundai,Hyundai Grand i10,14.0,Blue,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,6.25
Comprehensive,Diesel,2967 cc,2015.0,Diesel,SUV,79000.0,Automatic,1,Audi,Audi Q7,18.0,White,6.0,CRDI,Yes,5089.0,2177.0,1737.0,3002.0,8 Speed Tiptronic,AWD,7.0,Power,"tubeless,radial",5.0,330.0,12.07,DOHC,No,6.0,Bangalore,26.95
Third Party insurance,Diesel,2179 cc,2010.0,Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,16.0,Gray,4.0,CRDi,Yes,4430.0,1817.0,1975.0,2680.0,5 Speed,FWD,8.0,Power,"tubeless,radial",5.0,432.55074658090825,12.05,DOHC,No,5.6,Bangalore,6.5
Third Party insurance,Petrol,999 cc,2022.0,Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,14.0,Others,3.0,MPFi,No,3731.0,1579.0,1474.0,2422.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,279.0,22.0,DOHC,No,4.9,Bangalore,5.5
Comprehensive,Diesel,1497 cc,2018.0,Diesel,SUV,53645.0,Manual,1,Tata,Tata Nexon,17.0,White,4.0,CDI,Yes,3994.0,1811.0,1607.0,2498.0,6 Speed,FWD,5.0,Power,"tubeless, radial",5.0,350.0,21.5,DOHC,No,5.1,Bangalore,8.25
Third Party insurance,Petrol,1341 cc,2006.0,Petrol,Hatchback,100000.0,Manual,2,Hyundai,Hyundai Getz,13.0,Others,4.0,PFI,No,3810.0,1665.0,1515.0,2455.0,5 Speed,Unknown,5.0,Power,"tubeless,radial",5.0,286.33821799960367,15.3,DOHC,No,5.0,Bangalore,2.2
Comprehensive,Petrol,998 cc,2014.0,Petrol,Hatchback,53982.0,Automatic,1,Maruti,Maruti Celerio,15.0,Others,3.0,Unknown,Unknown,3695.0,1655.0,1555.0,2435.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,313.0,26.68,DOHC,Unknown,2.3722284684443196,Bangalore,4.28
Third Party insurance,Diesel,1498 cc,2014.0,Diesel,Sedan,110000.0,Manual,1,Skoda,Skoda Rapid,15.0,Black,4.0,Direct Injection,Yes,4386.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,460.0,21.14,DOHC,No,5.3,Bangalore,6.95
Third Party insurance,Petrol,1496 cc,2019.0,Petrol,SUV,37741.0,Manual,2,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,352.0,15.9,DOHC,No,5.3,Bangalore,9.3
Comprehensive,Petrol,796 cc,2021.0,Petrol,Hatchback,17367.0,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Bangalore,4.55
Comprehensive,Diesel,1582 cc,2017.0,Diesel,SUV,94000.0,Manual,1,Hyundai,Hyundai Creta,16.0,Grey,4.0,CRDi,Yes,4270.0,1780.0,1630.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,19.67,DOHC,No,5.3,Bangalore,11.95
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,33700.0,Automatic,1,Tata,Tata Harrier,17.0,Grey,4.0,Unknown,Yes,4598.0,1894.0,1706.0,2741.0,6-Speed,FWD,5.0,Power,"tubeless,radial",5.0,425.0,14.6,DOHC,Unknown,11.229743325395638,Bangalore,21.75
Comprehensive,Petrol,1197 cc,2014.0,Petrol,Hatchback,54601.0,Manual,3,Maruti,Maruti Swift,16.0,White,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Bangalore,4.42
Third Party insurance,Diesel,1248 cc,2018.0,Diesel,Hatchback,110000.0,Manual,1,Maruti,Maruti Swift,16.0,Others,4.0,CRDi,Yes,3840.0,1735.0,1530.0,2450.0,5,FWD,5.0,Power,tubeless,5.0,268.0,28.4,DOHC,No,4.8,Bangalore,6.9
Third Party insurance,Petrol,998 cc,2017.0,Petrol,Hatchback,64000.0,Manual,2,Maruti,Maruti Celerio,14.0,Red,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Bangalore,5.0
Comprehensive,Diesel,1995 cc,2016.0,Diesel,Sedan,40525.0,Automatic,1,BMW,BMW 3 Series GT,18.0,White,4.0,CRDi,Yes,4824.0,1828.0,1508.0,2920.0,8 Speed,RWD,5.0,Power,runflat,4.0,520.0,21.76,DOHC,No,5.5,Bangalore,33.95
Third Party insurance,Diesel,1248 cc,2015.0,Diesel,Sedan,100000.0,Manual,1,Maruti,Maruti Ciaz,16.0,White,4.0,CRDI,Yes,4490.0,1730.0,1485.0,2650.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,26.21,DOHC,No,5.4,Bangalore,6.5
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,44154.0,Automatic,2,Honda,Honda Jazz,15.0,White,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,19.0,SOHC,No,5.1,Bangalore,5.37
Third Party insurance,Diesel,1461 cc,2016.0,Diesel,MUV,70000.0,Manual,1,Renault,Renault Lodgy,15.0,White,4.0,CRDi,Yes,4498.0,1751.0,1697.0,2810.0,6 Speed,FWD,7.0,Power,tubeless,5.0,207.0,19.98,DOHC,No,5.55,Bangalore,7.5
Comprehensive,Petrol,1798 cc,2018.0,Petrol,Sedan,79000.0,Automatic,1,Skoda,Skoda Octavia,16.0,White,4.0,Direct Injection,Yes,4670.0,1814.0,1476.0,2688.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,590.0,15.1,DOHC,No,5.2,Bangalore,17.9
Third Party insurance,Petrol,1199 cc,2017.0,Petrol,Hatchback,68039.0,Manual,2,Tata,Tata Tiago,15.0,Orange,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,4.68
Third Party insurance,Petrol,1197 cc,2014.0,Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,15.0,Silver,4.0,MPFI,No,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,18.5,DOHC,No,4.7,Bangalore,4.2
Third Party insurance,Petrol,1197 cc,2014.0,Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,15.0,Silver,4.0,MPFI,No,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,18.5,DOHC,No,4.7,Bangalore,4.2
Third Party insurance,Petrol,998 cc,2021.0,Petrol,Hatchback,10000.0,Manual,1,Hyundai,Hyundai i20,16.0,Others,3.0,Unknown,Yes,3995.0,1775.0,1505.0,2580.0,6 Speed IMT,FWD,5.0,Electric,"tubeless,radial",5.0,311.0,20.0,DOHC,Unknown,2.9990303199075825,Bangalore,9.2
Third Party insurance,Petrol,1497 cc,2013.0,Petrol,Sedan,49873.0,Manual,1,Honda,Honda City,15.0,Yellow,4.0,EFI(Electronic Fuel Injection),No,4440.0,1695.0,1485.0,2550.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,506.0,16.8,SOHC,No,5.3,Bangalore,5.33
Third Party insurance,Petrol,1197 cc,2013.0,Petrol,Hatchback,90000.0,Automatic,3,Volkswagen,Volkswagen Polo,15.0,Others,4.0,MPFI ,Yes,3970.0,1682.0,1453.0,2456.0,7 Speed,FWD,5.0,Power,"tubeless,radial",5.0,329.78948222681663,17.2,DOHC,No,4.97,Bangalore,8.5
Third Party insurance,Diesel,1498 cc,2017.0,Diesel,Sedan,48960.0,Manual,2,Skoda,Skoda Rapid,15.0,Silver,4.0,Direct Injection,Yes,4413.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,460.0,21.13,DOHC,No,5.3,Bangalore,7.51
Third Party insurance,Diesel,1120 cc,2014.0,Diesel,Hatchback,70000.0,Manual,2,Hyundai,Hyundai Grand i10,15.0,Others,3.0,CRDi,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,24.0,DOHC,No,4.8,Bangalore,3.88
