Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs,km_winsorized,price_in_lakhs_winzorized
Third Party insurance,Petrol,1497 cc,2015.0,Petrol,Sedan,Manual,1,Honda,Honda City,15.0,Red,4.0,Unknown,Unknown,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,510.0,17.4,SOHC,Unknown,5.3,Chennai,5.3,11.563955014694816,5.3
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,16.0,Blue,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,339.0,21.01,DOHC,No,4.9,Chennai,6.78,10.475031911336824,6.78
Third Party insurance,Diesel,2143 cc,2011.0,Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,17.0,White,4.0,CRDi,Yes,4686.0,2020.0,1442.0,2840.0,9 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,19.71,DOHC,No,5.61,Chennai,12.0,11.289794413577894,12.0
Third Party insurance,Diesel,1461 cc,2014.0,Diesel,Sedan,Manual,2,Renault,Renault Fluence,16.0,Silver,4.0,Direct Injection,Yes,4618.0,1813.0,1488.0,2703.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,530.0,20.4,DOHC,No,5.4,Chennai,5.24,11.51293546492023,5.24
Comprehensive,Diesel,1968 cc,2014.0,Diesel,Sedan,Automatic,1,Audi,Audi A4,16.0,White,4.0,CRDI,Yes,4701.0,2040.0,1427.0,2808.0,8 Speed,FWD,5.0,Power,"tubeless,radial",4.0,480.0,17.11,DOHC,No,5.8,Chennai,21.5,9.702973165917758,18.40999999999999
Comprehensive,Diesel,1582 cc,2011.0,Diesel,Sedan,Manual,1,Hyundai,Hyundai Verna,16.0,White,4.0,CRDI,Yes,4370.0,1700.0,1475.0,2570.0,6 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,465.0,22.32,DOHC,No,5.2,Chennai,6.75,11.156279092051912,6.75
Comprehensive,Diesel,1120 cc,2014.0,Diesel,Sedan,Manual,1,Hyundai,Hyundai Xcent,14.0,Silver,3.0,Direct Injection,No,3995.0,1660.0,1520.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,407.0,24.4,DOHC,No,4.7,Chennai,4.7,11.02405700855628,4.7
Third Party insurance,Diesel,1498 cc,2014.0,Diesel,Sedan,Manual,1,Honda,Honda Amaze,15.0,Silver,4.0,Unknown,Yes,3990.0,1680.0,1505.0,2405.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,400.0,25.8,DOHC,No,4.7,Chennai,5.3,10.848151918598122,5.3
Comprehensive,Petrol,1086 cc,2019.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro,15.0,Green,4.0,MPFI,No,3610.0,1645.0,1560.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,20.3,DOHC,No,1.590495501209034,Chennai,4.63,11.12710120636704,4.63
Zero Dep,Petrol,1199 cc,2019.0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,15.0,Silver,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.2,SOHC,No,5.1,Chennai,7.27,10.4921904642226,7.27
Comprehensive,Petrol,1497 cc,2015.0,Petrol,Sedan,Manual,1,Honda,Honda City,15.0,White,4.0,Unknown,Unknown,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,510.0,17.4,SOHC,Unknown,5.3,Chennai,5.15,11.563955014694816,5.15
Zero Dep,Petrol,1197 cc,2016.0,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,16.0,Silver,4.0,Unknown,Unknown,3995.0,1735.0,1515.0,2450.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,378.0,22.41,DOHC,Unknown,4.8,Chennai,5.47,11.391717822034538,5.47
Third Party insurance,Diesel,1248 cc,2012.0,Diesel,Hatchback,Manual,2,Maruti,Maruti Ritz,15.0,Red,4.0,CRDI,Yes,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,23.2,DOHC,No,4.7,Chennai,3.07,11.486786807360534,3.07
Third Party insurance,Petrol,1998 cc,2019.0,Petrol,SUV,Automatic,1,BMW,BMW X3,19.0,Others,4.0,EFI,Yes,4708.0,1891.0,1676.0,2864.0,8 Speed,AWD,5.0,Power,"tubeless,radial",5.0,485.0,13.17,DOHC,No,5.95,Chennai,41.483333333333334,11.156264806643742,18.40999999999999
Comprehensive,Diesel,1498 cc,2015.0,Diesel,SUV,Manual,2,Ford,Ford Ecosport,16.0,Blue,4.0,Direct Injection,Yes,3999.0,1765.0,1708.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,346.0,22.7,SOHC,No,5.3,Chennai,5.29,11.563955014694816,5.29
Third Party insurance,Petrol,1998 cc,2019.0,Petrol,SUV,Automatic,1,BMW,BMW X3,19.0,Others,4.0,EFI,Yes,4708.0,1891.0,1676.0,2864.0,8 Speed,AWD,5.0,Power,"tubeless,radial",5.0,485.0,13.17,DOHC,No,5.95,Chennai,41.483333333333334,11.156264806643742,18.40999999999999
Comprehensive,Diesel,1248 cc,2016.0,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,16.0,White,4.0,CRDI,Yes,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,25.2,DOHC,No,4.8,Chennai,6.24,11.129877211146065,6.24
Zero Dep,Petrol,1498 cc,2022.0,Petrol,Sedan,Manual,1,Skoda,Skoda Slavia,16.0,White,4.0,Direct Injection,Yes,4541.0,1752.0,1507.0,2651.0,6-Speed,FWD,5.0,Electric,"tubeless,radial",4.0,521.0,18.72,Unknown,Unknown,10.228648202389545,Chennai,18.16,10.22284996159088,18.16
Comprehensive,Diesel,1248 cc,2017.0,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,16.0,White,4.0,Unknown,Yes,4300.0,1785.0,1595.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,353.0,23.65,DOHC,No,5.2,Chennai,8.5,11.231517005524044,8.5
Comprehensive,Petrol,1482 cc,2022.0,Petrol,MUV,Automatic,1,Kia,Kia Carens,16.0,Red,4.0,GDi,No,4540.0,1800.0,1708.0,2780.0,6-Speed iMT,2WD,6.0,Power,"tubeless,radial",5.0,420.9176410624812,19.256888627353813,Unknown,Unknown,12.360289868366324,Chennai,16.9,9.702973165917758,16.9
Third Party insurance,Petrol,1497 cc,2021.0,Petrol,SUV,Manual,1,Hyundai,Hyundai Creta,16.0,Others,4.0,MPi,No,4300.0,1790.0,1635.0,2610.0,6-speed,FWD,5.0,Power,"tubeless,radial",5.0,387.3563752954349,19.256888627353813,DOHC,Unknown,8.468961588881704,Chennai,11.5,9.90353755128617,11.5
Third Party insurance,Diesel,1997 cc,2022.0,Diesel,SUV,Automatic,1,Citroen,Citroen C5 Aircross,18.0,Silver,4.0,Unknown,Unknown,4500.0,2099.0,1710.0,2730.0,8-Speed,Unknown,5.0,Power,tubeless,5.0,580.0,18.6,Unknown,Unknown,5.35,Chennai,30.0,9.90353755128617,18.40999999999999
Comprehensive,Petrol,998 cc,2017.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,14.0,Grey,3.0,MPFi,No,3545.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,177.0,23.95,DOHC,No,4.6,Chennai,3.1,11.014209555082415,3.1
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,16.0,Grey,4.0,MPFI,No,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,20.85,DOHC,No,4.8,Chennai,4.95,10.703132102290963,4.95
Third Party insurance,Petrol,1373 cc,2017.0,Petrol,MUV,Manual,1,Maruti,Maruti Ertiga,16.0,Gray,4.0,MPFI,No,4296.0,1695.0,1685.0,2740.0,5 Speed,FWD,7.0,Power,"tubeless,radial",5.0,135.0,17.5,DOHC,No,5.2,Chennai,8.0,9.90353755128617,8.0
Comprehensive,Diesel,1497 cc,2019.0,Diesel,SUV,Automatic,1,Tata,Tata Nexon,17.0,Grey,4.0,CDI,Yes,3994.0,1811.0,1607.0,2498.0,6 Speed,FWD,5.0,Power,"tubeless, radial",5.0,350.0,21.5,DOHC,No,5.1,Chennai,8.25,10.729284487191537,8.25
Comprehensive,Diesel,2755 cc,2020.0,Diesel,SUV,Manual,1,Toyota,Toyota Fortuner,17.0,White,4.0,Direct Injection,Yes,4795.0,1855.0,1835.0,2745.0,6 Speed,RWD,7.0,Power,"tubeless,radial",5.0,529.7710283219253,14.24,DOHC,No,5.8,Chennai,16.445,10.165890277802454,16.445
Third Party insurance,Petrol,1591 cc,2017.0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Verna,16.0,Others,4.0,MPFI,No,4375.0,1700.0,1475.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,4.0,465.0,17.01,DOHC,No,5.2,Chennai,7.74,10.856669362994031,7.74
Third Party insurance,Petrol,1198 cc,2017.0,Petrol,Hatchback,Automatic,1,Nissan,Nissan Micra,15.0,Blue,3.0,Unknown,No,3825.0,1665.0,1530.0,2450.0,CVT,FWD,5.0,Power,"tubeless,radial",5.0,251.0,19.15,DOHC,No,4.65,Chennai,5.25,10.946375692431877,5.25
